Title,Date,CNetID,Job Title,Department,Division,Affiliation,Faculty Member or Instructor?,Contact ID,Engagement Type,Which Workshop,Hear about Workshop,What Brings You In,Hear about Walk-Ins,Event Notes,Consultation Topic,How Did You Hear
6/17/2019 8:01:13 PM,,,,,,,FALSE,,'Custom Consultation',,,,,,Meeting re: Suzanne Cox's BSD Master's program for Spanish-speaking physicians,
6/26/2019 5:30:15 PM,,,,,,,FALSE,,'Walk-In',,,Questions about Canvas's features,TechBar referral,,,
6/27/2019 6:44:27 PM,,,,,,,FALSE,,'Walk-In',,,Questions about how to organize my course,Signage outside the TechBar,,,
6/27/2019 9:04:59 PM,,,,,,,FALSE,,'Walk-In',,,Chalk Migration,Saw the sign in the Reg,,,
6/28/2019 7:30:52 PM,,,,,,,FALSE,,'Walk-In',,,Questions about Canvas's features,Email,,,
6/28/2019 7:48:37 PM,,,,Art History,HUM,,FALSE,,'Custom Consultation',,,,,,"ARTH 101 course site design, how to set up individual section sites (they need to work with the Registrar to change how enrollment is set up), most likely will use Blueprint. Possible September demo. In future engagement, will suggest use of Poll Everywhere, Rubrics, Analytics, Grading Scheme, and events for site visits.",
6/28/2019 7:49:55 PM,,,,,,,FALSE,,'Custom Consultation',,,,,,"new instructor Human Body, walked her through how the Canvas site is set up, gradebook, muting assignments, quizzes",
6/26/2019 5:00:00 PM,,,,,,,FALSE,,Walk-In,,,Questions about Canvas's features,TechBar referral,,,
7/18/2019 13:32,,,,RLL,HUM,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 13:30,,,,Sociology,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 13:30,,,,Art History,HUM,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 13:30,,,,Political Science,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 13:30,,,,Anthropology,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:40,,,,History,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:37,,,,Sociology,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:32,,,,Political Science,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:27,,,,James Franck Institute,PSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:26,,,,IME,IME,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:26,,,,NELC,HUM,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:25,,,,Anthropology,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:25,,,,Islamic Studies,Divinity School,,FALSE,,Workshop,Custom Workshop,,,,,,
7/18/2019 12:24,,,,Political Science,SSD,,FALSE,,Workshop,Custom Workshop,,,,,,
